hometype,price,beds,baths,neighborhood,sqft,age
Condo/Co-op,1320000,2,2,South Beach,1145,18
Condo/Co-op,1325000,2,1.5,Mission Bay,1283,15
Condo/Co-op,1250000,2,2,Van Ness/Civic Center,994,10
Condo/Co-op,1300000,2,2,Van Ness/Civic Center,1429,98
Condo/Co-op,1500000,2,2,Downtown,1720,105
Condo/Co-op,1499000,2,2,Financial District,1250,31
Single Family Residential,1305000,2,1,Central Sunset,1488,77
Single Family Residential,1480000,2,2,Central Sunset,1425,92
Single Family Residential,1351000,2,1,Central Sunset,1750,94
Single Family Residential,1425000,2,1,Central Sunset,912,107
Condo/Co-op,1467000,2,2.5,Inner Mission,1633,16
Condo/Co-op,1500000,2,1,Eureka Valley/Dolore,1175,133
Condo/Co-op,1470000,2,2,Inner Mission,1311,15
Condo/Co-op,1400000,2,2,Hayes Valley,1215,27
Condo/Co-op,1499000,2,1,Eureka Valley/Dolore,1238,107
Single Family Residential,1445000,2,1.5,Noe Valley,1297,72
Condo/Co-op,1395000,2,1,Pacific Heights,1358,68
Condo/Co-op,1350000,2,2,Pacific Heights,1246,116
Condo/Co-op,1350000,2,2,Van Ness/Civic Center,969,2
Condo/Co-op,1330000,2,2,Pacific Heights,1108,17
Condo/Co-op,1500000,2,2,Pacific Heights,1180,87
Condo/Co-op,1318000,2,2,Van Ness/Civic Center,1175,25
Condo/Co-op,1353000,2,2,Pacific Heights,1098,52
Condo/Co-op,1350000,2,1,Noe Valley,1185,123
Condo/Co-op,1460000,2,1,Noe Valley,1076,105
Condo/Co-op,1500000,2,1,Anza Vista,1303,71
Condo/Co-op,1365000,2,1,North Panhandle,1593,93
Condo/Co-op,1420000,2,1,North Panhandle,1262,105
Condo/Co-op,1350000,2,1.5,North Panhandle,1248,104
Condo/Co-op,1322000,2,2,Central Waterfront,869,0
Condo/Co-op,1375000,2,2,Lone Mountain,1035,23
Condo/Co-op,1425000,2,2,Pacific Heights,1380,105
Single Family Residential,1268000,2,1,Glen Park,874,110
Condo/Co-op,1450000,2,2,Mission Bay,1488,14
Condo/Co-op,1450000,2,2,South Beach,1092,18
Condo/Co-op,1340000,2,2,South Beach,1094,18
Condo/Co-op,1250000,2,2,South Beach,1223,17
Condo/Co-op,1395000,2,2,South of Market,1146,10
Condo/Co-op,1315000,2,1,Inner Mission,1188,93
