personid,expgroup,performance,performance_pre,age,tenure,grosswage,children,commute,married
40318,2,-.30943424,.22499478,23,8,2.6573532,0,60,0
40320,1,-1.1892521,-1.1420957,25,8,3.1419656,1,30,1
40322,1,.012786676,.14893954,24,8,2.4230156,0,80,0
40328,1,.10535859,.94877285,22,8,2.8085544,0,40,0
40334,0,.60687065,.2764667,23,8,3.0268366,0,200,0
40336,0,-.80702722,-.55907291,25,8,1.8216889,0,120,0
40346,0,-1.4717058,-.37161943,22,8,2.3013978,0,120,0
40444,1,.70670128,.66815186,34,8,4.5790925,1,240,1
40456,0,.15819387,.26799712,23,8,2.9682412,0,40,0
40472,1,.73661727,.48244968,25,8,2.7997401,0,90,0
40490,1,-.11804115,-.094636105,21,8,2.2997365,0,200,0
41100,2,.49711016,.14475405,23,7,2.6378334,0,140,0
41156,2,-.704799,.4116751,20,7,2.4484098,0,60,0
41274,2,-.71613008,-.2319252,21,6,2.30598,0,60,0
41278,2,-.55369252,-.11688087,24,6,2.3615975,0,20,0
41286,1,-.2232734,-.02529658,23,6,2.2320545,0,60,0
41304,2,-.62548375,-.49294722,22,6,2.3107343,0,2,0
41318,1,-.012958862,-1.2596043,22,6,2.8944988,0,150,0
41320,1,-.61005628,-.31906465,22,6,2.0357277,0,160,0
41332,0,-1.593558,-.39211935,22,6,2.2184744,0,70,0
41334,2,-.19123812,-.25285846,23,6,2.3744655,0,120,0
41340,2,.29902825,-.2806561,25,6,2.0534735,0,60,1
41344,2,-.42296723,-.37351438,24,6,2.2516668,0,40,0
41818,1,-.42926973,-.12134121,23,6,1.5676389,0,40,0
42096,0,-2.1337552,-.36624923,23,5,1.9338323,0,60,0
42098,2,-1.0122516,-.044321816,21,5,2.1436677,0,20,0
42104,1,-.49606562,-.33475247,21,5,2.0368733,0,20,0
42108,1,.44714886,.33541527,23,5,2.180999,0,165,0
42112,2,.098750725,-.14875236,22,5,2.2019689,0,60,0
42140,0,.97583425,-.07073494,25,5,2.0991511,1,120,1
42146,0,.015263416,-.04130923,21,5,2.6055667,0,155,0
42152,0,.090847306,.17874916,25,5,2.2796545,0,120,0
42308,1,-.59001195,-.11561139,23,5,2.1777735,0,190,1
42350,2,-.012373146,-.096313052,27,5,2.1230488,0,90,1
42584,2,-1.6331452,-1.6277931,21,4,2.4338334,0,25,0
42592,1,-.21126534,.042018514,23,4,2.1660967,0,120,0
42594,2,-.4029415,-.31454426,20,4,2.0382111,0,90,0
42618,1,-1.071727,-.95753944,22,4,2.4991667,0,30,0
42624,1,.6852777,.32374704,23,4,2.1169591,0,180,0
42628,1,-.03881922,-.37955287,22,4,2.6698179,0,140,0
42632,0,-.15094399,.12251674,21,4,2.1365278,0,210,0
42634,0,-.82166517,-1.0077969,20,4,2.3890445,0,20,0
42682,0,-3.0149708,.38023219,22,4,2.2165678,0,240,1
43254,2,1.1274533,-.077869602,21,3,2.0256157,0,120,0
43258,0,-.64024198,-.8111794,22,3,2.5343001,0,180,0
43264,1,-.73621076,-1.1921372,22,3,2.1834314,0,210,0
43270,1,-1.0688424,-.98646373,25,3,2.6007185,0,180,0
43278,1,-.10568639,-.3989113,23,3,1.8964972,0,120,0
43280,2,.62932831,.13146006,22,3,2.16099,0,20,0
43286,1,-.078662932,-.066075318,20,3,2.3404601,0,20,0
43288,1,-1.4889405,-1.0929021,21,3,2.3061087,0,105,0
43500,0,1.316907,.27930355,27,3,2.6960227,1,120,1
43514,2,-1.2544004,-1.1782786,23,3,2.4673429,0,80,0
43520,2,-1.1976695,-.4932391,23,3,1.6894429,0,80,0
43524,0,-.96469605,-.96428031,24,3,2.34497,0,140,0
43528,2,-1.7850519,-1.468038,22,3,2.0830257,0,120,0
43534,1,-.1849664,-.63946182,23,3,2.3380985,0,180,0
43538,2,-1.0220517,-.52250844,27,4,2.2302721,1,90,1
43542,2,-.79977494,-.27729517,28,4.5,1.9261174,1,30,1
43556,2,-.75359112,.28246206,26,3.5,2.3313868,0,40,1
43570,0,-.93426406,-.8791104,18,3.5,2.4264233,0,180,0
43926,1,-.62675142,-.6409058,22,3,2.8931179,0,50,0
43952,2,-1.0274526,.071959049,24,3,2.2289779,0,140,0
44256,0,-.80292869,-.76875973,21,2.5,1.8639133,0,120,0
44266,1,-.7820183,-1.1966077,19,2.5,2.1462648,0,55,0
44282,0,-.26830268,-.31786045,20,2.5,1.9008915,0,240,0
44408,1,.41094193,-.33302879,22,2.5,1.6431301,0,180,0
44782,1,.057903696,-.13177224,23,2,2.7881098,0,60,0
44784,1,-.51251823,-.74381763,31,2,2.4996901,0,30,0
44794,0,-1.961498,-1.0718768,23,3,2.4931734,0,40,0
44800,0,-.54041982,-.36135009,25,2,2.74229,0,120,0
45238,1,.69491816,-.044172138,22,2,1.6785461,0,40,0
45254,0,-1.1610111,-1.1018978,23,2,1.908324,0,210,0
45442,0,-1.0220587,-.9931348,22,2.5,2.4788702,0,40,0
47274,2,-.40864393,-.89072782,24,25,1.989655,0,40,0
103790,3,-1.6058017,-1.4717332,,,,,,
104004,3,-.53005153,-.122559,,,,,,
104006,3,-.15184316,.17634736,,,,,,
104018,3,.096567087,.18621089,,,,,,
104020,3,-.50018895,-.040307257,,,,,,
